I am  nid00690 rank 0 (total 192)
total of 1545 tasks
No 316 is done
No 317 is done
No 318 is done
No 319 is done
No 320 is done
No 321 is done
No 322 is done
No 323 is done
No 324 is done
No 325 is done
No 326 is done
No 327 is done
No 328 is done
No 329 is done
No 330 is done
No 331 is done
No 332 is done
No 333 is done
No 334 is done
No 335 is done
No 336 is done
No 337 is done
No 338 is done
No 339 is done
No 340 is done
No 341 is done
No 342 is done
No 343 is done
No 344 is done
No 345 is done
No 346 is done
No 347 is done
No 348 is done
No 349 is done
No 350 is done
No 351 is done
No 352 is done
No 353 is done
No 354 is done
No 355 is done
No 356 is done
No 357 is done
No 358 is done
No 359 is done
No 360 is done
No 361 is done
No 362 is done
No 363 is done
No 364 is done
No 365 is done
No 366 is done
No 367 is done
No 368 is done
No 369 is done
No 370 is done
No 371 is done
No 372 is done
No 373 is done
No 374 is done
No 375 is done
No 376 is done
No 377 is done
No 378 is done
No 379 is done
No 380 is done
No 381 is done
No 382 is done
No 383 is done
No 384 is done
No 385 is done
No 386 is done
No 387 is done
No 388 is done
No 389 is done
No 390 is done
No 391 is done
No 392 is done
No 393 is done
No 394 is done
No 395 is done
No 396 is done
No 397 is done
No 398 is done
No 399 is done
No 400 is done
No 401 is done
No 402 is done
No 403 is done
No 404 is done
No 405 is done
No 406 is done
No 407 is done
No 408 is done
No 409 is done
No 410 is done
No 411 is done
No 412 is done
No 413 is done
No 414 is done
No 415 is done
No 416 is done
No 417 is done
No 418 is done
No 419 is done
No 420 is done
No 421 is done
No 422 is done
No 423 is done
No 424 is done
No 425 is done
No 426 is done
No 427 is done
No 428 is done
No 429 is done
No 430 is done
No 431 is done
No 432 is done
No 433 is done
No 434 is done
No 435 is done
No 436 is done
No 437 is done
No 438 is done
No 439 is done
No 440 is done
No 441 is done
No 442 is done
No 443 is done
No 444 is done
No 445 is done
No 446 is done
No 447 is done
No 448 is done
No 449 is done
No 450 is done
No 451 is done
No 452 is done
No 453 is done
No 454 is done
No 455 is done
No 456 is done
No 457 is done
No 458 is done
No 459 is done
No 460 is done
No 461 is done
No 462 is done
No 463 is done
No 464 is done
No 465 is done
No 466 is done
No 467 is done
No 468 is done
No 469 is done
No 470 is done
No 471 is done
No 472 is done
No 473 is done
No 474 is done
No 475 is done
No 476 is done
No 477 is done
No 478 is done
No 479 is done
No 480 is done
No 481 is done
No 482 is done
No 483 is done
No 484 is done
No 485 is done
No 486 is done
No 487 is done
No 488 is done
No 489 is done
No 490 is done
No 491 is done
No 492 is done
No 493 is done
No 494 is done
No 495 is done
No 496 is done
No 497 is done
No 498 is done
No 499 is done
No 500 is done
No 501 is done
No 502 is done
No 503 is done
No 504 is done
No 505 is done
No 506 is done
No 507 is done
No 508 is done
No 509 is done
No 510 is done
No 511 is done
No 512 is done
No 513 is done
No 514 is done
No 515 is done
No 516 is done
No 517 is done
No 518 is done
No 519 is done
No 520 is done
No 521 is done
No 522 is done
No 523 is done
No 524 is done
No 525 is done
No 526 is done
No 527 is done
No 528 is done
No 529 is done
No 530 is done
No 531 is done
No 532 is done
No 533 is done
No 534 is done
No 535 is done
No 536 is done
No 537 is done
No 538 is done
No 539 is done
No 540 is done
No 541 is done
No 542 is done
No 543 is done
No 544 is done
No 545 is done
No 546 is done
No 547 is done
No 548 is done
No 549 is done
No 550 is done
No 551 is done
No 552 is done
No 553 is done
No 554 is done
No 555 is done
No 556 is done
No 557 is done
No 558 is done
No 559 is done
No 560 is done
No 561 is done
No 562 is done
No 563 is done
No 564 is done
No 565 is done
No 566 is done
No 567 is done
No 568 is done
No 569 is done
No 570 is done
No 571 is done
No 572 is done
No 573 is done
No 574 is done
No 575 is done
No 576 is done
No 577 is done
No 578 is done
No 579 is done
No 580 is done
No 581 is done
No 582 is done
No 583 is done
No 584 is done
No 585 is done
No 586 is done
No 587 is done
No 588 is done
No 589 is done
No 590 is done
No 591 is done
No 592 is done
No 593 is done
No 594 is done
No 595 is done
No 596 is done
No 597 is done
No 598 is done
No 599 is done
No 600 is done
No 601 is done
No 602 is done
No 603 is done
No 604 is done
No 605 is done
No 606 is done
No 607 is done
No 608 is done
No 609 is done
No 610 is done
No 611 is done
No 612 is done
No 613 is done
No 614 is done
No 615 is done
No 616 is done
No 617 is done
No 618 is done
No 619 is done
No 620 is done
No 621 is done
No 622 is done
No 623 is done
No 624 is done
No 625 is done
No 626 is done
No 627 is done
No 628 is done
No 629 is done
No 630 is done
No 631 is done
No 632 is done
No 633 is done
No 634 is done
No 635 is done
No 636 is done
No 637 is done
No 638 is done
No 639 is done
No 640 is done
No 641 is done
No 642 is done
No 643 is done
No 644 is done
No 645 is done
No 646 is done
No 647 is done
No 648 is done
No 649 is done
No 650 is done
No 651 is done
No 652 is done
No 653 is done
No 654 is done
No 655 is done
No 656 is done
No 657 is done
No 658 is done
No 659 is done
No 660 is done
No 661 is done
No 662 is done
No 663 is done
No 664 is done
No 665 is done
No 666 is done
No 667 is done
No 668 is done
No 669 is done
No 670 is done
No 671 is done
No 672 is done
No 673 is done
No 674 is done
No 675 is done
No 676 is done
No 677 is done
No 678 is done
No 679 is done
No 680 is done
No 681 is done
No 682 is done
No 683 is done
No 684 is done
No 685 is done
No 686 is done
No 687 is done
No 688 is done
No 689 is done
No 690 is done
No 691 is done
No 692 is done
No 693 is done
No 694 is done
No 695 is done
No 696 is done
No 697 is done
No 698 is done
No 699 is done
No 700 is done
No 701 is done
No 702 is done
No 703 is done
No 704 is done
No 705 is done
No 706 is done
No 707 is done
No 708 is done
No 709 is done
No 710 is done
No 711 is done
No 712 is done
No 713 is done
No 714 is done
No 715 is done
No 716 is done
No 717 is done
No 718 is done
No 719 is done
No 720 is done
No 721 is done
No 722 is done
No 723 is done
No 724 is done
No 725 is done
No 726 is done
No 727 is done
No 728 is done
No 729 is done
No 730 is done
No 731 is done
No 732 is done
No 733 is done
No 734 is done
No 735 is done
No 736 is done
No 737 is done
No 738 is done
No 739 is done
No 740 is done
No 741 is done
No 742 is done
No 743 is done
No 744 is done
No 745 is done
No 746 is done
No 747 is done
No 748 is done
No 749 is done
No 750 is done
No 751 is done
No 752 is done
No 753 is done
No 754 is done
No 755 is done
No 756 is done
No 757 is done
No 758 is done
No 759 is done
No 760 is done
No 761 is done
No 762 is done
No 763 is done
No 764 is done
No 765 is done
No 766 is done
No 767 is done
No 768 is done
No 769 is done
No 770 is done
No 771 is done
No 772 is done
No 773 is done
No 774 is done
No 775 is done
No 776 is done
No 777 is done
No 778 is done
No 779 is done
No 780 is done
No 781 is done
No 782 is done
No 783 is done
No 784 is done
No 785 is done
No 786 is done
No 787 is done
No 788 is done
No 789 is done
No 790 is done
No 791 is done
No 792 is done
No 793 is done
No 794 is done
No 795 is done
No 796 is done
No 797 is done
No 798 is done
No 799 is done
No 800 is done
No 801 is done
No 802 is done
No 803 is done
No 804 is done
No 805 is done
No 806 is done
No 807 is done
No 808 is done
No 809 is done
No 810 is done
No 811 is done
No 812 is done
No 813 is done
No 814 is done
No 815 is done
No 816 is done
No 817 is done
No 818 is done
No 819 is done
No 820 is done
No 821 is done
No 822 is done
No 823 is done
No 824 is done
No 825 is done
No 826 is done
No 827 is done
No 828 is done
No 829 is done
No 830 is done
No 831 is done
No 832 is done
No 833 is done
No 834 is done
No 835 is done
No 836 is done
No 837 is done
No 838 is done
No 839 is done
No 840 is done
No 841 is done
No 842 is done
No 843 is done
No 844 is done
No 845 is done
No 846 is done
No 847 is done
No 848 is done
No 849 is done
No 850 is done
No 851 is done
No 852 is done
No 853 is done
No 854 is done
No 855 is done
No 856 is done
No 857 is done
No 858 is done
No 859 is done
No 860 is done
No 861 is done
No 862 is done
No 863 is done
No 864 is done
No 865 is done
No 866 is done
No 867 is done
No 868 is done
No 869 is done
No 870 is done
No 871 is done
No 872 is done
No 873 is done
No 874 is done
No 875 is done
No 876 is done
No 877 is done
No 878 is done
No 879 is done
No 880 is done
No 881 is done
No 882 is done
No 883 is done
No 884 is done
No 885 is done
No 886 is done
No 887 is done
No 888 is done
No 889 is done
No 890 is done
No 891 is done
No 892 is done
No 893 is done
No 894 is done
No 895 is done
No 896 is done
No 897 is done
No 898 is done
No 899 is done
No 900 is done
No 901 is done
No 902 is done
No 903 is done
No 904 is done
No 905 is done
No 906 is done
No 907 is done
No 908 is done
No 909 is done
No 910 is done
No 911 is done
No 912 is done
No 913 is done
No 914 is done
No 915 is done
No 916 is done
No 917 is done
No 918 is done
No 919 is done
No 920 is done
No 921 is done
No 922 is done
No 923 is done
No 924 is done
No 925 is done
No 926 is done
No 927 is done
No 928 is done
No 929 is done
No 930 is done
No 931 is done
No 932 is done
No 933 is done
No 934 is done
No 935 is done
No 936 is done
No 937 is done
No 938 is done
No 939 is done
No 940 is done
No 941 is done
No 942 is done
No 943 is done
No 944 is done
No 945 is done
No 946 is done
No 947 is done
No 948 is done
No 949 is done
No 950 is done
No 951 is done
No 952 is done
No 953 is done
No 954 is done
No 955 is done
No 956 is done
No 957 is done
No 958 is done
No 959 is done
No 960 is done
No 961 is done
No 962 is done
No 963 is done
No 964 is done
No 965 is done
No 966 is done
No 967 is done
No 968 is done
No 969 is done
No 970 is done
No 971 is done
No 972 is done
No 973 is done
No 974 is done
No 975 is done
No 976 is done
No 977 is done
No 978 is done
No 979 is done
No 980 is done
No 981 is done
No 982 is done
No 983 is done
No 984 is done
No 985 is done
No 986 is done
No 987 is done
No 988 is done
No 989 is done
No 990 is done
No 991 is done
No 992 is done
No 993 is done
No 994 is done
No 995 is done
No 996 is done
No 997 is done
No 998 is done
No 999 is done
No 1000 is done
No 1001 is done
No 1002 is done
No 1003 is done
No 1004 is done
No 1005 is done
No 1006 is done
No 1007 is done
No 1008 is done
No 1009 is done
No 1010 is done
No 1011 is done
No 1012 is done
No 1013 is done
No 1014 is done
No 1015 is done
No 1016 is done
No 1017 is done
No 1018 is done
No 1019 is done
No 1020 is done
No 1021 is done
No 1022 is done
No 1023 is done
No 1024 is done
No 1025 is done
No 1026 is done
No 1027 is done
No 1028 is done
No 1029 is done
No 1030 is done
No 1031 is done
No 1032 is done
No 1033 is done
No 1034 is done
No 1035 is done
No 1036 is done
No 1037 is done
No 1038 is done
No 1039 is done
No 1040 is done
No 1041 is done
No 1042 is done
No 1043 is done
No 1044 is done
No 1045 is done
No 1046 is done
No 1047 is done
No 1048 is done
No 1049 is done
No 1050 is done
No 1051 is done
No 1052 is done
No 1053 is done
No 1054 is done
No 1055 is done
No 1056 is done
No 1057 is done
No 1058 is done
No 1059 is done
No 1060 is done
No 1061 is done
No 1062 is done
No 1063 is done
No 1064 is done
No 1065 is done
No 1066 is done
No 1067 is done
No 1068 is done
No 1069 is done
No 1070 is done
No 1071 is done
No 1072 is done
No 1073 is done
No 1074 is done
No 1075 is done
No 1076 is done
No 1077 is done
No 1078 is done
No 1079 is done
No 1080 is done
No 1081 is done
No 1082 is done
No 1083 is done
No 1084 is done
No 1085 is done
No 1086 is done
No 1087 is done
No 1088 is done
No 1089 is done
I am  nid00691 rank 33 (total 192)
3351p005
  Slave nid00691 rank 33 executing "3351p005" task_id "65"
3383p005
  Slave nid00691 rank 33 executing "3383p005" task_id "256"
3416m015
  Slave nid00691 rank 33 executing "3416m015" task_id "447"
3448m005
  Slave nid00691 rank 33 executing "3448m005" task_id "638"
3478p015
  Slave nid00691 rank 33 executing "3478p015" task_id "829"
3511p005
  Slave nid00691 rank 33 executing "3511p005" task_id "1020"
3543m015
  Slave nid00691 rank 33 executing "3543m015" task_id "1211"
3576m005
  Slave nid00691 rank 33 executing "3576m005" task_id "1402"
Task completed (rank 33)
I am  nid00695 rank 161 (total 192)
3373m015
  Slave nid00695 rank 161 executing "3373m015" task_id "193"
3406m007
  Slave nid00695 rank 161 executing "3406m007" task_id "384"
3436p015
  Slave nid00695 rank 161 executing "3436p015" task_id "575"
3468p007
  Slave nid00695 rank 161 executing "3468p007" task_id "766"
3501m017
  Slave nid00695 rank 161 executing "3501m017" task_id "957"
3533m007
  Slave nid00695 rank 161 executing "3533m007" task_id "1148"
3563p015
  Slave nid00695 rank 161 executing "3563p015" task_id "1339"
3596p007
  Slave nid00695 rank 161 executing "3596p007" task_id "1530"
Task completed (rank 161)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00690 rank 17 (total 192)
3341p000
  Slave nid00690 rank 17 executing "3341p000" task_id "3"
3348p002
  Slave nid00690 rank 17 executing "3348p002" task_id "49"
3381p002
  Slave nid00690 rank 17 executing "3381p002" task_id "240"
3413m012
  Slave nid00690 rank 17 executing "3413m012" task_id "431"
3446m002
  Slave nid00690 rank 17 executing "3446m002" task_id "622"
3476p012
  Slave nid00690 rank 17 executing "3476p012" task_id "813"
3508p002
  Slave nid00690 rank 17 executing "3508p002" task_id "1004"
3541m012
  Slave nid00690 rank 17 executing "3541m012" task_id "1195"
3573m002
  Slave nid00690 rank 17 executing "3573m002" task_id "1386"
Task completed (rank 17)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00694 rank 129 (total 192)
3368m007
  Slave nid00694 rank 129 executing "3368m007" task_id "161"
3401m002
  Slave nid00694 rank 129 executing "3401m002" task_id "352"
3431p010
  Slave nid00694 rank 129 executing "3431p010" task_id "543"
3463p002
  Slave nid00694 rank 129 executing "3463p002" task_id "734"
3496m012
  Slave nid00694 rank 129 executing "3496m012" task_id "925"
3528m002
  Slave nid00694 rank 129 executing "3528m002" task_id "1116"
3558p010
  Slave nid00694 rank 129 executing "3558p010" task_id "1307"
3591p000
  Slave nid00694 rank 129 executing "3591p000" task_id "1498"
Task completed (rank 129)
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in less
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in greater
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in less
I am  nid00692 rank 65 (total 192)
3356p015
  Slave nid00692 rank 65 executing "3356p015" task_id "97"
3388p010
  Slave nid00692 rank 65 executing "3388p010" task_id "288"
3421p000
  Slave nid00692 rank 65 executing "3421p000" task_id "479"
3453m012
  Slave nid00692 rank 65 executing "3453m012" task_id "670"
3486m002
  Slave nid00692 rank 65 executing "3486m002" task_id "861"
3516p010
  Slave nid00692 rank 65 executing "3516p010" task_id "1052"
3548p000
  Slave nid00692 rank 65 executing "3548p000" task_id "1243"
3581m010
  Slave nid00692 rank 65 executing "3581m010" task_id "1434"
Task completed (rank 65)
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in less
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in greater
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in less
I am  nid00691 rank 35 (total 192)
3351p010
  Slave nid00691 rank 35 executing "3351p010" task_id "67"
3383p010
  Slave nid00691 rank 35 executing "3383p010" task_id "258"
3416p000
  Slave nid00691 rank 35 executing "3416p000" task_id "449"
3448m010
  Slave nid00691 rank 35 executing "3448m010" task_id "640"
3481m002
  Slave nid00691 rank 35 executing "3481m002" task_id "831"
3511p010
  Slave nid00691 rank 35 executing "3511p010" task_id "1022"
3543p000
  Slave nid00691 rank 35 executing "3543p000" task_id "1213"
3576m010
  Slave nid00691 rank 35 executing "3576m010" task_id "1404"
Task completed (rank 35)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00694 rank 131 (total 192)
3368m012
  Slave nid00694 rank 131 executing "3368m012" task_id "163"
3401m007
  Slave nid00694 rank 131 executing "3401m007" task_id "354"
3431p015
  Slave nid00694 rank 131 executing "3431p015" task_id "545"
3463p007
  Slave nid00694 rank 131 executing "3463p007" task_id "736"
3496m017
  Slave nid00694 rank 131 executing "3496m017" task_id "927"
3528m007
  Slave nid00694 rank 131 executing "3528m007" task_id "1118"
3558p015
  Slave nid00694 rank 131 executing "3558p015" task_id "1309"
3591p005
  Slave nid00694 rank 131 executing "3591p005" task_id "1500"
Task completed (rank 131)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00690 rank 19 (total 192)
3341p005
  Slave nid00690 rank 19 executing "3341p005" task_id "5"
3348p007
  Slave nid00690 rank 19 executing "3348p007" task_id "51"
3381p007
  Slave nid00690 rank 19 executing "3381p007" task_id "242"
3413m017
  Slave nid00690 rank 19 executing "3413m017" task_id "433"
3446m007
  Slave nid00690 rank 19 executing "3446m007" task_id "624"
3476p017
  Slave nid00690 rank 19 executing "3476p017" task_id "815"
3508p007
  Slave nid00690 rank 19 executing "3508p007" task_id "1006"
3541m017
  Slave nid00690 rank 19 executing "3541m017" task_id "1197"
3573m007
  Slave nid00690 rank 19 executing "3573m007" task_id "1388"
Task completed (rank 19)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
